Pesquisa;Produto;Preço;Link;Loja
Console PlayStation 5 Slim;Console Sony PlayStation 5, SSD 825GB, Controle Sem Fio DualSense + 2 Jogos Digitais, Edição Digital;R$ 4.091,07;https://www.kabum.com.br/produto/989702/console-sony-playstation-5-ssd-825gb-controle-sem-fio-dualsense-2-jogos-digitais-edicao-digital;KaBuM
Console Xbox Series X;Volante Logitech G920 Driving Force para Xbox Series X|S, Xbox One e PC - 941-000122;R$ 1.599,00;https://www.kabum.com.br/produto/71373/volante-logitech-g920-driving-force-para-xbox-series-x-s-xbox-one-e-pc-941-000122;KaBuM
Console Xbox Series X;Console Microsoft Xbox Series S, 512GB, Branco - RRS-00006;R$ 4.160,00;https://www.kabum.com.br/produto/200089/console-microsoft-xbox-series-s-512gb-branco-rrs-00006;KaBuM
Console Xbox Series X;Volante Logitech G923 para Xbox Series X|S, Xbox One e PC com TRUEFORCE, Pedais Responsivos, Launch Control - 941-000157;R$ 2.299,00;https://www.kabum.com.br/produto/117285/volante-logitech-g923-para-xbox-series-x-s-xbox-one-e-pc-com-trueforce-pedais-responsivos-launch-control-941-000157;KaBuM
Placa de Vídeo RTX 4060 NVIDIA;Placa de Vídeo GALAX NVIDIA GeForce RTX 5050 1-Click OC, 8GB, GDDR6, 128-Bits, Ray Tracing, DLSS 4 - 55NSL8MHDXRE;R$ 2.099,99;https://www.kabum.com.br/produto/953957/placa-de-video-galax-nvidia-geforce-rtx-5050-1-click-oc-8gb-gddr6-128-bits-ray-tracing-dlss-4-55nsl8mhdxre;KaBuM
Placa de Vídeo RTX 4060 NVIDIA;Placa de Vídeo GALAX NVIDIA GeForce RTX 5060 1-Click OC TECLAB Lite, 8GB, GDDR7, 128-Bits, Ray Tracing, DLSS 4 - 56NSN8MDDXBO;R$ 3.297,60;https://www.kabum.com.br/produto/953956/placa-de-video-galax-nvidia-geforce-rtx-5060-1-click-oc-teclab-lite-8gb-gddr7-128-bits-ray-tracing-dlss-4-56nsn8mddxbo;KaBuM
Placa de Vídeo RTX 4060 NVIDIA;Placa de Vídeo Palit RTX 5060 Ti DUAL NVIDIA GeForce, 8GB GDDR7 128bit, FP4 e DLSS 4, Ray Tracing - NE7506T019P1-GB2062D;R$ 2.699,99;https://www.kabum.com.br/produto/776929/placa-de-video-palit-rtx-5060-ti-dual-nvidia-geforce-8gb-gddr7-128bit-fp4-e-dlss-4-ray-tracing-ne7506t019p1-gb2062d;KaBuM
Memória RAM Kingston Fury 8GB DDR4;Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;R$ 699,99;https://www.kabum.com.br/produto/172365/memoria-ram-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8;KaBuM
Memória RAM Kingston Fury 8GB DDR4;Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16;R$ 799,99;https://www.kabum.com.br/produto/172366/memoria-ram-kingston-fury-beast-16gb-3200mhz-ddr4-cl16-preto-kf432c16bb1-16;KaBuM
Memória RAM Kingston Fury 8GB DDR4;Memória RAM Para Notebook Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20 - KF432S20IB/8;R$ 449,99;https://www.kabum.com.br/produto/193299/memoria-ram-para-notebook-kingston-fury-impact-8gb-3200mhz-ddr4-cl20-kf432s20ib-8;KaBuM
SSD Kingston NV2 1TB NVMe;SSD Kingston NV3, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 6000 MB/s, Gravação: 4000 MB/s, Azul - SNV3S/1000G;R$ 888,99;https://www.kabum.com.br/produto/621162/ssd-kingston-nv3-1-tb-m-2-2280-pcie-4-0-x4-nvme-leitura-6000-mb-s-gravacao-4000-mb-s-azul-snv3s-1000g;KaBuM
SSD Kingston NV2 1TB NVMe;SSD 1TB Kingston Nv2, M.2 2280 PCIe, NVMe, Leitura 3500MB/s, Gravação 2100MB/s - Snv2s/1000g;R$ 959,99;https://www.kabum.com.br/produto/400812/ssd-1tb-kingston-nv2-m-2-2280-pcie-nvme-leitura-3500mb-s-gravacao-2100mb-s-snv2s-1000g;KaBuM
SSD Kingston NV2 1TB NVMe;SSD Kingston Fury Renegade, 1TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 7300 MB/s, Gravação: 6000MB/s, com Dissipador, Compatível com PS5 - SFYRSK/1000G;R$ 1.649,99;https://www.kabum.com.br/produto/398535/ssd-kingston-fury-renegade-1tb-m-2-2280-pcie-4-0-x4-nvme-leitura-7300-mb-s-gravacao-6000mb-s-com-dissipador-compativel-com-ps5-sfyrsk-1000g;KaBuM
Processador Intel Core i5-13400F;Processador Intel Core I5 13400f, 2.5GHz (4.6GHz Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Sem Vídeo - Bx8071513400f;R$ 1.550,34;https://www.kabum.com.br/produto/421023/processador-intel-core-i5-13400f-2-5ghz-4-6ghz-turbo-cache-20mb-10-nucleos-16-threads-lga-1700-sem-video-bx8071513400f;KaBuM
Processador Intel Core i5-13400F;Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F;R$ 849,99;https://www.kabum.com.br/produto/283718/processador-intel-core-i5-12400f-2-5ghz-4-4ghz-max-turbo-cache-18mb-lga-1700-bx8071512400f;KaBuM
Processador Intel Core i5-13400F;Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K;R$ 1.299,99;https://www.kabum.com.br/produto/241046/processador-intel-core-i5-12600k-3-7ghz-4-9ghz-max-turbo-cache-20mb-10-nucleos-16-threads-lga-1700-video-integrado-bx8071512600k;KaBuM
